Religious Bodies,Tradition,Family,Congregations,Adherents,Adherence Rate†
African Methodist Episcopal Church,Black Protestant,Methodist/Pietist,5,"1,399",4.06
American Baptist Churches in the USA,Mainline Protestant,Baptist,7,"1,770",5.13
"Antiochian Orthodox Christian Archdiocese of North America, The",Orthodox,Eastern Liturgical (Orthodox),1,63,0.18
Armenian Church of North America (Catholicosate of Etchmiadzin),Orthodox,Eastern Liturgical (Orthodox),1,30,0.09
Assemblies of God,Evangelical Protestant,Pentecostal,13,"1,375",3.99
Bahá'í,Other,Other Groups,3,358,1.04
"Buddhism, Mahayana",Other,Other Groups,4,300,0.87
"Buddhism, Theravada",Other,Other Groups,3,295,0.86
"Buddhism, Vajrayana",Other,Other Groups,2,180,0.52
Calvary Chapel Fellowship Churches,Evangelical Protestant,Pentecostal,1,---,---
Catholic Church,Catholic,Catholicism,14,"42,603",123.56
"Christian and Missionary Alliance, The",Evangelical Protestant,Holiness,2,104,0.3
Christian Church (Disciples of Christ),Mainline Protestant,Baptist,1,104,0.3
Christian Churches and Churches of Christ,Evangelical Protestant,Baptist,1,42,0.12
Christian Reformed Church in North America,Evangelical Protestant,Presbyterian-Reformed,4,930,2.7
"Church of Christ, Scientist",Other,Christian Science,1,---,---
"Church of God (Anderson, Indiana)",Evangelical Protestant,Holiness,2,510,1.48
"Church of God (Cleveland, Tennessee)",Evangelical Protestant,Pentecostal,2,"1,233",3.58
Church of God in Christ,Black Protestant,Pentecostal,11,"2,356",6.83
Church of God of Prophecy,Evangelical Protestant,Pentecostal,1,18,0.05
"Church of Jesus Christ of Latter-day Saints, The",Other,Latter-day Saints,7,"2,929",8.5
"Church of Our Lord Jesus Christ of the Apostolic Faith, Inc.",Black Protestant,Pentecostal,1,---,---
Church of the Brethren,Evangelical Protestant,European Free-Church,1,50,0.15
Church of the Nazarene,Evangelical Protestant,Holiness,4,192,0.56
Churches of Christ,Evangelical Protestant,Baptist,6,825,2.39
Community of Christ,Other,Latter-day Saints,1,167,0.48
Conservative Judaism,Other,Judaism,1,"1,234",3.58
Converge Worldwide/Baptist General Conference,Evangelical Protestant,Baptist,1,90,0.26
Coptic Orthodox Church,Orthodox,Eastern Liturgical (Orthodox),1,125,0.36
Episcopal Church,Mainline Protestant,Episcopalianism/Anglicanism,8,"2,264",6.57
"Evangelical Covenant Church, The",Evangelical Protestant,Methodist/Pietist,1,129,0.37
Evangelical Friends Church International*,Evangelical Protestant,European Free-Church,1,48,0.14
Evangelical Lutheran Church in America,Mainline Protestant,Lutheran,8,"4,079",11.83
Evangelical Presbyterian Church,Evangelical Protestant,Presbyterian-Reformed,2,756,2.19
Free Methodist Church of North America,Evangelical Protestant,Holiness,5,846,2.45
Friends General Conference*,Mainline Protestant,European Free-Church,2,157,0.46
General Association of Regular Baptist Churches,Evangelical Protestant,Baptist,1,---,---
Greek Orthodox Archdiocese of America,Orthodox,Eastern Liturgical (Orthodox),1,400,1.16
"Hindu, Indian-American Hindu Temple Assoc.",Other,Other Groups,1,250,0.73
"Hindu, Post Renaissance",Other,Other Groups,3,112,0.32
Independent Baptist Fellowship International,Evangelical Protestant,Baptist,1,---,---
Independent Fundamental Churches of America,Evangelical Protestant,Ind. Fundamentalist,2,---,---
Jehovah's Witnesses,Other,Adventist,6,---,---
Lutheran Church--Missouri Synod,Evangelical Protestant,Lutheran,9,"4,287",12.43
Lutheran Congregations in Mission for Christ,Evangelical Protestant,Lutheran,1,---,---
Mennonite Church USA,Evangelical Protestant,European Free-Church,2,62,0.18
"Metropolitan Community Churches, Universal Fellowship of",Mainline Protestant,Other Groups,1,18,0.05
Muslim Estimate,Other,Other Groups,3,"4,463",12.94
National Association of Congregational Christian Churches,Mainline Protestant,Presbyterian-Reformed,1,896,2.6
National Association of Free Will Baptists,Evangelical Protestant,Baptist,5,601,1.74
"National Baptist Convention, USA, Inc.",Black Protestant,Baptist,5,"1,381",4.01
"New Apostolic Church of North America, National Organization of the",Other,Other Groups,1,---,---
Non-denominational,Evangelical Protestant,----,19,"5,418",15.71
Pentecostal Church of God,Evangelical Protestant,Pentecostal,3,326,0.95
Presbyterian Church (U.S.A.),Mainline Protestant,Presbyterian-Reformed,7,"3,606",10.46
Presbyterian Church in America,Evangelical Protestant,Presbyterian-Reformed,1,69,0.2
"Progressive National Baptist Convention, Inc.",Black Protestant,Baptist,1,238,0.69
Reconstructionist Judaism,Other,Judaism,1,127,0.37
Reform Judaism,Other,Judaism,1,"1,809",5.25
Reformed Church in America,Mainline Protestant,Presbyterian-Reformed,1,241,0.7
Russian Orthodox Church Outside of Russia,Orthodox,Eastern Liturgical (Orthodox),1,300,0.87
Salvation Army,Evangelical Protestant,Holiness,2,270,0.78
Seventh-day Adventist Church,Evangelical Protestant,Adventist,5,748,2.17
Southern Baptist Convention,Evangelical Protestant,Baptist,12,"2,699",7.83
Union of Messianic Jewish Congregations,Other,Judaism,1,---,---
Unitarian Universalist Association of Congregations,Other,Liberal,2,849,2.46
United Church of Christ,Mainline Protestant,Presbyterian-Reformed,13,"3,702",10.74
"United Methodist Church, The",Mainline Protestant,Methodist/Pietist,17,"9,039",26.22
United Pentecostal Church International,Evangelical Protestant,Pentecostal,3,---,---
"Unity Churches, Association of",Other,Other Groups,2,---,---
Vineyard USA,Evangelical Protestant,Pentecostal,1,"1,268",3.68
"Wesleyan Church, The",Evangelical Protestant,Holiness,2,908,2.63
Wisconsin Evangelical Lutheran Synod,Evangelical Protestant,Lutheran,6,"1,535",4.45
Zoroastrian,Other,Other Groups,0,13,0.04
